transformed_feature,coefficient
numeric__VehPower,0.03833064440841682
numeric__VehAge,0.046985605315747844
numeric__DrivAge,-0.10269883567285702
numeric__Density,-0.028447333605007556
category__Area_A,0.009991087471050422
category__Area_B,0.044765750350752316
category__Area_C,-0.04227169055704257
category__Area_D,0.004536492525753988
category__Area_E,-0.010513564869010218
category__Area_F,-0.006520402311843889
category__VehBrand_B1,-0.031862683016617446
category__VehBrand_B10,-0.0006064365427167679
category__VehBrand_B11,0.016836095770973933
category__VehBrand_B12,-0.009615666136080284
category__VehBrand_B13,0.0019020719644424863
category__VehBrand_B14,-0.0008842433780892877
category__VehBrand_B2,0.06084782702267168
category__VehBrand_B3,-0.010660813227404338
category__VehBrand_B4,0.00038052194059296244
category__VehBrand_B5,-0.01019215479665297
category__VehBrand_B6,-0.01615684699145999
category__VehGas_Diesel,-0.025829568454457424
category__VehGas_Regular,0.025817241064117296
category__Region_Alsace,-0.0014703572885997605
category__Region_Aquitaine,-0.0038165015853311624
category__Region_Auvergne,-0.002592825006790608
category__Region_Basse-Normandie,-0.0049576666496036325
category__Region_Bourgogne,-0.0018551777429939348
category__Region_Bretagne,-0.004626021600130125
category__Region_Centre,0.04941529569068116
category__Region_Champagne-Ardenne,0.009150092370093304
category__Region_Corse,-0.0007374151824164068
category__Region_Franche-Comte,0.0001246479364111472
category__Region_Haute-Normandie,-0.0031467653717927742
category__Region_Ile-de-France,-0.020102464139378273
category__Region_Languedoc-Roussillon,-0.007897873491622728
category__Region_Limousin,-0.0029619855934251904
category__Region_Lorraine,0.0022053257592401284
category__Region_Midi-Pyrenees,-0.0044080867854053895
category__Region_Nord-Pas-de-Calais,-0.008067672317188504
category__Region_Pays-de-la-Loire,-0.014326314867121463
category__Region_Picardie,0.0009693868876989526
category__Region_Poitou-Charentes,-0.008824037748686429
category__Region_Provence-Alpes-Cotes-D'Azur,0.006720803777640188
category__Region_Rhone-Alpes,0.02119328555838145
