transformed_feature,coefficient
numeric__VehPower,0.04475508060118572
numeric__VehAge,-0.15473163940894988
numeric__DrivAge,-0.12913096992179224
numeric__Density,-0.017420474200189648
category__Area_A,0.015626846387976588
category__Area_B,-0.042319816143708895
category__Area_C,-0.06314955422818663
category__Area_D,0.08711322246066473
category__Area_E,0.08303118207330523
category__Area_F,-0.10495765326883959
category__VehBrand_B1,0.03856822459474463
category__VehBrand_B10,0.0814430949399101
category__VehBrand_B11,0.25321666896326717
category__VehBrand_B12,-0.1493225733602795
category__VehBrand_B13,0.29878963846180406
category__VehBrand_B14,-0.09826056226234377
category__VehBrand_B2,0.1141837027564215
category__VehBrand_B3,0.016041754326595555
category__VehBrand_B4,-0.22870826072614012
category__VehBrand_B5,-0.008381514078092359
category__VehBrand_B6,-0.34222594633467784
category__VehGas_Diesel,0.024463935267772664
category__VehGas_Regular,-0.04911970798657876
category__Region_Alsace,-0.1678781947184948
category__Region_Aquitaine,0.24594359904929228
category__Region_Auvergne,-0.3573940270419988
category__Region_Basse-Normandie,-0.013323873505268478
category__Region_Bourgogne,0.16702245618323297
category__Region_Bretagne,0.06682972132176027
category__Region_Centre,-0.07085148559619804
category__Region_Champagne-Ardenne,0.14451777383551495
category__Region_Corse,0.14182434325593107
category__Region_Franche-Comte,-0.11117999318206863
category__Region_Haute-Normandie,-0.07166416271609706
category__Region_Ile-de-France,-0.10645889471685414
category__Region_Languedoc-Roussillon,0.20512403198992427
category__Region_Limousin,-0.1990475800408975
category__Region_Lorraine,0.10098961444008879
category__Region_Midi-Pyrenees,-0.04271826704990428
category__Region_Nord-Pas-de-Calais,-0.07227910744270334
category__Region_Pays-de-la-Loire,-0.1687704083332366
category__Region_Picardie,0.07291196935927939
category__Region_Poitou-Charentes,-0.21625691130987773
category__Region_Provence-Alpes-Cotes-D'Azur,0.3705783010363445
category__Region_Rhone-Alpes,0.057425322463441925
