Region,claim_records,policies,mean_recorded_amount,total_recorded_amount
Centre,6475,6262,2945.915422393822,19074802.36
Rhone-Alpes,4233,4002,2428.1369832270257,10278303.85
Provence-Alpes-Cotes-D'Azur,2986,2753,2301.0799732083055,6871024.8
Ile-de-France,2591,2393,1761.1817290621384,4563221.86
Bretagne,1871,1793,2085.0086851950828,3901051.25
Pays-de-la-Loire,1576,1498,1631.3229251269036,2570964.93
Languedoc-Roussillon,1068,934,1901.6021348314607,2030911.08
Aquitaine,1055,985,1816.2450616113745,1916138.54
Nord-Pas-de-Calais,944,872,1731.6628389830507,1634689.72
Poitou-Charentes,800,765,1631.3847250000001,1305107.78
Lorraine,468,452,2210.045512820513,1034301.3
Basse-Normandie,452,429,2057.184314159292,929847.31
Midi-Pyrenees,369,350,1461.7486991869919,539385.27
Bourgogne,345,328,1844.3421449275363,636298.04
Picardie,314,302,2189.8881210191084,687624.87
Haute-Normandie,220,209,1488.607181818182,327493.58
Limousin,197,184,1422.7672081218275,280285.14
Auvergne,141,135,1304.7860283687942,183974.83
Corse,132,109,3519.5647727272726,464582.55
Alsace,92,83,1319.8368478260868,121424.98999999999
Champagne-Ardenne,77,70,6249.978441558442,481248.34
Franche-Comte,38,36,2014.0555263157894,76534.11
