grouping,group,n,mae,rmse,gamma_deviance,mean_signed_error,predicted_to_observed_total
cost_band,high_cost,509,10331.071878368697,66211.9751294635,6.6949250977611054,-10331.071878368697,0.19037084953092356
cost_band,other,4758,1422.8174455089068,1515.0767242530887,1.1277462510789886,1414.259870339507,2.3934691466648115
Region,Aquitaine,219,1753.9852880082142,2473.3224984449625,1.2073228497297321,789.2844629218628,1.4813016749142724
Region,Auvergne,35,1665.7685608319018,2088.5189962746585,1.0469369338480947,971.9605594645897,1.6669967064723001
Region,Basse-Normandie,92,3372.3046645499267,13498.008522091795,2.6095402052237304,-623.9155554422429,0.7956449293652167
Region,Bourgogne,85,1410.3958729225085,1550.8589556322843,1.0245885535314834,1203.6062233301357,1.9820757085306748
Region,Bretagne,354,1791.9321652726476,3403.2751276088807,1.1574248765375612,792.711315719634,1.484403599732569
Region,Centre,1335,3142.5231593893445,39138.15580646575,2.4171644027750148,-532.2710606531209,0.8202668043799929
Region,Haute-Normandie,33,1386.0596871809846,1492.0416440962006,1.0149383262565737,1260.3857456117757,2.0783640951187095
Region,Ile-de-France,480,2229.1305946453313,8495.932424854233,1.492094841856941,270.4749255360182,1.1252949882939456
Region,Languedoc-Roussillon,196,1818.969481250217,3031.520524788902,1.2203466107721002,685.2603961992834,1.3929426559613067
Region,Limousin,30,1409.039323762148,1562.501379246261,1.250922689808128,1357.1373213693516,2.265935921738207
Region,Lorraine,86,1537.7080154653142,1920.3259002704108,0.9654965235831754,803.5040578034601,1.494258445278523
Region,Midi-Pyrenees,60,1634.1968241609472,1921.0146617809817,1.4564890556044048,1083.843488036018,1.805630032364407
Region,Nord-Pas-de-Calais,196,2044.020347498423,4502.70675771832,1.3265047377299057,479.1732023217325,1.2457289922435897
Region,Pays-de-la-Loire,331,1630.140080839157,2421.7220839819997,1.2169463160106764,1013.2419517822418,1.7155976644733912
Region,Picardie,58,1536.311714649256,1898.6695747734318,1.2262185619628796,1114.063091484294,1.8471209627109204
Region,Poitou-Charentes,172,1666.6191188644325,2230.6396509346837,1.2189355498887842,889.4222554778785,1.5776377911089952
Region,Provence-Alpes-Cotes-D'Azur,589,2185.921145988271,9181.751914714068,1.6591051016681833,321.9782562872915,1.1527989709936735
Region,Rhone-Alpes,854,1944.6450729171754,6940.074543311332,1.3692331556175883,594.1934540781727,1.3238135229235546
driver_age_band,up_to_25,447,5526.938222678825,67232.44998858141,4.301898675135455,-2878.406074603803,0.45768075342857883
driver_age_band,26_to_60,4010,1897.8970757240456,5470.498743010654,1.375557444072438,667.507621452477,1.3789056547143288
driver_age_band,over_60,810,2403.9164600372683,11213.732272540388,1.647653677627413,99.35164235700583,1.04264333144597
