,VehPower,VehAge,DrivAge,Density,Area,VehBrand,VehGas,Region,ClaimAmount
count,15881.0,15881.0,15881.0,15881.0,15881,15881,15881,15881,15881.0
unique,,,,,6,11,2,22,
top,,,,,C,B1,Diesel,Centre,
freq,,,,,4224,4102,8107,3881,
mean,6.465839682639632,7.337888042314716,45.19173855550658,2028.1781373968893,,,,,2429.179988036018
std,2.0265510592401332,5.216707397230661,14.696186803226205,4183.684187762936,,,,,35716.69143576055
min,4.0,0.0,18.0,2.0,,,,,1.09
25%,5.0,3.0,34.0,115.0,,,,,680.7
50%,6.0,7.0,45.0,534.0,,,,,1172.0
75%,7.0,11.0,54.0,2252.0,,,,,1227.54
max,15.0,99.0,99.0,27000.0,,,,,4075400.56
